id,alarm_time,message
2024090112399,2024-09-01 06:30:00,"Wake up and prepare for the day."
2024090212360,2024-09-02 06:00:00,"Wake up and start the day with meditation."
2024090301111,2024-09-03 06:30:00,"Wake up and start the day with a refreshing shower."
2024090412399,2024-09-04 06:30:00,"Wake up and prepare for the day."
2024090511111,2024-09-05 06:30:00,"Wake up and prepare for the golf session."
2024090612399,2024-09-06 06:30:00,"Wake up and prepare for the day."
2024090712354,2024-09-07 06:00:00,"Wake up and prepare for the fishing trip."
2024090812361,2024-09-08 06:30:00,"Wake up and start the day with meditation."
2024090912346,2024-09-09 06:30:00,"Wake up and start your day with a refreshing shower."
2024090912348,2024-09-09 22:00:00,"Prepare for bed to ensure a good night's sleep."
