id,music_type,title,artist
1,classical,"Clair de Lune","Claude Debussy"
2,jazz,"Take Five","Dave Brubeck"
3,indie,"Holocene","Bon Iver"
4,folk,"The Sound of Silence","Simon & Garfunkel"
5,classical,"Nuvole Bianche","Ludovico Einaudi"
6,jazz,"Don't Know Why","Norah Jones"
7,indie,"Skinny Love","Bon Iver"
8,folk,"Scarborough Fair","Simon & Garfunkel"
9,classical,"River Flows in You","Yiruma"
10,jazz,"Feeling Good","Nina Simone"
11,indie,"Re: Stacks","Bon Iver"
12,folk,"Homeward Bound","Simon & Garfunkel"
13,classical,"Gymnopédies No.1","Erik Satie"
14,jazz,"Blue in Green","Miles Davis"
15,indie,"Flume","Bon Iver"
16,folk,"The Boxer","Simon & Garfunkel"
17,classical,"The Four Seasons: Spring","Antonio Vivaldi"
18,jazz,"Autumn Leaves","Bill Evans"
19,indie,"Blood Bank","Bon Iver"
20,folk,"Bridge Over Troubled Water","Simon & Garfunkel"
21,classical,"Nocturne in E-flat major, Op. 9 No. 2","Frédéric Chopin"
22,jazz,"So What","Miles Davis"
23,indie,"Towers","Bon Iver"
24,folk,"America","Simon & Garfunkel"
25,classical,"Prelude in C Major, BWV 846","Johann Sebastian Bach"
26,jazz,"A Night in Tunisia","Dizzy Gillespie"
27,indie,"Perth","Bon Iver"
28,folk,"Mrs. Robinson","Simon & Garfunkel"
29,classical,"Adagio for Strings","Samuel Barber"
30,jazz,"Take the 'A' Train","Duke Ellington"
31,indie,"Minnesota, WI","Bon Iver"
32,folk,"Cecilia","Simon & Garfunkel"
33,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
34,jazz,"Round Midnight","Thelonious Monk"
35,indie,"Calgary","Bon Iver"
36,folk,"I Am a Rock","Simon & Garfunkel"
37,classical,"Symphony No. 5","Ludwig van Beethoven"
38,jazz,"My Favorite Things","John Coltrane"
39,indie,"Beth/Rest","Bon Iver"
40,folk,"The 59th Street Bridge Song (Feelin' Groovy)","Simon & Garfunkel"
41,classical,"Canon in D","Johann Pachelbel"
42,jazz,"All Blues","Miles Davis"
43,indie,"Creature Fear","Bon Iver"
44,folk,"El Condor Pasa","Simon & Garfunkel"
45,classical,"Swan Lake Suite","Pyotr Ilyich Tchaikovsky"
46,jazz,"Freddie Freeloader","Miles Davis"
47,indie,"Holocene","Bon Iver"
48,folk,"The Only Living Boy in New York","Simon & Garfunkel"
49,classical,"Clair de Lune","Claude Debussy"
50,jazz,"Take Five","Dave Brubeck"
51,indie,"Skinny Love","Bon Iver"
52,folk,"The Sound of Silence","Simon & Garfunkel"
53,classical,"Nuvole Bianche","Ludovico Einaudi"
54,jazz,"Don't Know Why","Norah Jones"
55,indie,"Re: Stacks","Bon Iver"
56,folk,"Homeward Bound","Simon & Garfunkel"
57,classical,"Gymnopédies No.1","Erik Satie"
58,jazz,"Blue in Green","Miles Davis"
59,indie,"Flume","Bon Iver"
60,folk,"The Boxer","Simon & Garfunkel"
61,classical,"The Four Seasons: Spring","Antonio Vivaldi"
62,jazz,"Autumn Leaves","Bill Evans"
63,indie,"Blood Bank","Bon Iver"
64,folk,"Bridge Over Troubled Water","Simon & Garfunkel"
65,classical,"Nocturne in E-flat major, Op. 9 No. 2","Frédéric Chopin"
66,jazz,"So What","Miles Davis"
67,indie,"Towers","Bon Iver"
68,folk,"America","Simon & Garfunkel"
69,classical,"Prelude in C Major, BWV 846","Johann Sebastian Bach"
70,jazz,"A Night in Tunisia","Dizzy Gillespie"
71,indie,"Perth","Bon Iver"
72,folk,"Mrs. Robinson","Simon & Garfunkel"
73,classical,"Adagio for Strings","Samuel Barber"
74,jazz,"Take the 'A' Train","Duke Ellington"
75,indie,"Minnesota, WI","Bon Iver"
76,folk,"Cecilia","Simon & Garfunkel"
77,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
78,jazz,"Round Midnight","Thelonious Monk"
79,indie,"Calgary","Bon Iver"
80,folk,"I Am a Rock","Simon & Garfunkel"
81,classical,"Symphony No. 5","Ludwig van Beethoven"
82,jazz,"My Favorite Things","John Coltrane"
83,indie,"Beth/Rest","Bon Iver"
84,folk,"The 59th Street Bridge Song (Feelin' Groovy)","Simon & Garfunkel"
85,classical,"Canon in D","Johann Pachelbel"
86,jazz,"All Blues","Miles Davis"
87,indie,"Creature Fear","Bon Iver"
88,folk,"El Condor Pasa","Simon & Garfunkel"
89,classical,"Swan Lake Suite","Pyotr Ilyich Tchaikovsky"
90,jazz,"Freddie Freeloader","Miles Davis"
91,indie,"Holocene","Bon Iver"
92,folk,"The Only Living Boy in New York","Simon & Garfunkel"
93,classical,"Clair de Lune","Claude Debussy"
94,jazz,"Take Five","Dave Brubeck"
95,indie,"Skinny Love","Bon Iver"
96,folk,"The Sound of Silence","Simon & Garfunkel"
97,classical,"Nuvole Bianche","Ludovico Einaudi"
98,jazz,"Don't Know Why","Norah Jones"
99,indie,"Re: Stacks","Bon Iver"
100,folk,"Homeward Bound","Simon & Garfunkel"
