id,music_type,title,artist
1,classical,"Clair de Lune","Claude Debussy"
2,jazz,"So What","Miles Davis"
3,indie,"Holocene","Bon Iver"
4,world,"Chan Chan","Buena Vista Social Club"
5,classical,"Nuvole Bianche","Ludovico Einaudi"
6,jazz,"Take Five","Dave Brubeck"
7,indie,"Skinny Love","Bon Iver"
8,world,"La Vie en Rose","Édith Piaf"
9,classical,"The Four Seasons: Spring","Antonio Vivaldi"
10,jazz,"Blue in Green","Miles Davis"
11,indie,"Re: Stacks","Bon Iver"
12,world,"Besame Mucho","Consuelo Velázquez"
13,classical,"Gymnopédies No.1","Erik Satie"
14,jazz,"Round Midnight","Thelonious Monk"
15,indie,"Flume","Bon Iver"
16,world,"Guantanamera","Celia Cruz"
17,classical,"Nocturne in E-flat major, Op. 9, No. 2","Frédéric Chopin"
18,jazz,"A Love Supreme","John Coltrane"
19,indie,"Towers","Bon Iver"
20,world,"Bamboleo","Gipsy Kings"
21,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
22,jazz,"My Favorite Things","John Coltrane"
23,indie,"Blood Bank","Bon Iver"
24,world,"Oye Como Va","Santana"
25,classical,"Adagio for Strings","Samuel Barber"
26,jazz,"Freddie Freeloader","Miles Davis"
27,indie,"Perth","Bon Iver"
28,world,"El Condor Pasa","Simon & Garfunkel"
29,classical,"Symphony No. 5","Ludwig van Beethoven"
30,jazz,"All Blues","Miles Davis"
31,indie,"For Emma","Bon Iver"
32,world,"Volare","Dean Martin"
33,classical,"Canon in D","Johann Pachelbel"
34,jazz,"Autumn Leaves","Chet Baker"
35,indie,"Minnesota, WI","Bon Iver"
36,world,"Bésame Mucho","Andrea Bocelli"
37,classical,"Ave Maria","Franz Schubert"
38,jazz,"Cantaloupe Island","Herbie Hancock"
39,indie,"Creature Fear","Bon Iver"
40,world,"Samba Pa Ti","Santana"
41,classical,"The Swan","Camille Saint-Saëns"
42,jazz,"Moanin'","Art Blakey"
43,indie,"Holocene","Bon Iver"
44,world,"Mas, que Nada!","Sergio Mendes"
45,classical,"Clair de Lune","Claude Debussy"
46,jazz,"Take Five","Dave Brubeck"
47,indie,"Skinny Love","Bon Iver"
48,world,"La Vie en Rose","Édith Piaf"
49,classical,"The Four Seasons: Spring","Antonio Vivaldi"
50,jazz,"Blue in Green","Miles Davis"
51,indie,"Re: Stacks","Bon Iver"
52,world,"Besame Mucho","Consuelo Velázquez"
53,classical,"Gymnopédies No.1","Erik Satie"
54,jazz,"Round Midnight","Thelonious Monk"
55,indie,"Flume","Bon Iver"
56,world,"Guantanamera","Celia Cruz"
57,classical,"Nocturne in E-flat major, Op. 9, No. 2","Frédéric Chopin"
58,jazz,"A Love Supreme","John Coltrane"
59,indie,"Towers","Bon Iver"
60,world,"Bamboleo","Gipsy Kings"
61,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
62,jazz,"My Favorite Things","John Coltrane"
63,indie,"Blood Bank","Bon Iver"
64,world,"Oye Como Va","Santana"
65,classical,"Adagio for Strings","Samuel Barber"
66,jazz,"Freddie Freeloader","Miles Davis"
67,indie,"Perth","Bon Iver"
68,world,"El Condor Pasa","Simon & Garfunkel"
69,classical,"Symphony No. 5","Ludwig van Beethoven"
70,jazz,"All Blues","Miles Davis"
71,indie,"For Emma","Bon Iver"
72,world,"Volare","Dean Martin"
73,classical,"Canon in D","Johann Pachelbel"
74,jazz,"Autumn Leaves","Chet Baker"
75,indie,"Minnesota, WI","Bon Iver"
76,world,"Bésame Mucho","Andrea Bocelli"
77,classical,"Ave Maria","Franz Schubert"
78,jazz,"Cantaloupe Island","Herbie Hancock"
79,indie,"Creature Fear","Bon Iver"
80,world,"Samba Pa Ti","Santana"
81,classical,"The Swan","Camille Saint-Saëns"
82,jazz,"Moanin'","Art Blakey"
83,indie,"Holocene","Bon Iver"
84,world,"Mas, que Nada!","Sergio Mendes"
