id,alarm_time,message
2024090111111,2024-09-01 07:30:00,"Shower and get ready for the day."
2024090212399,2024-09-02 06:00:00,"Wake up and start your yoga session."
2024090312346,2024-09-03 06:30:00,"Wake up and start the day with lemon water."
2024090411111,2024-09-04 06:30:00,"Wake up and start your HIIT workout session."
2024090511111,2024-09-05 06:30:00,"Wake up and prepare for yoga session."
2024090612350,2024-09-06 07:30:00,"Prepare a nutritious breakfast and browse Pinterest for inspiration."
2024090711111,2024-09-07 06:30:00,"Wake up and start the day with lemon water and journaling."
2024090812399,2024-09-08 07:00:00,"Wake up and start your morning yoga session."
2024090912399,2024-09-09 06:30:00,"Wake up and start the day with yoga."
2024090144444,2024-09-01 21:30:00,"Evening skincare routine and journaling session."
2024090212401,2024-09-02 22:30:00,"Prepare for a restful night's sleep."
2024090312348,2024-09-03 22:30:00,"Begin bedtime routine with skincare and meditation."
2024090433333,2024-09-04 22:00:00,"Prepare for bed and ensure a restful night's sleep."
2024090544444,2024-09-05 21:30:00,"Wind down with herbal tea and meditation, reflect on the day's achievements."
2024090612354,2024-09-06 22:00:00,"Nighttime skincare routine and meditation session."
2024090733333,2024-09-07 22:00:00,"Prepare for bed and reflect on the day."
2024090812400,2024-09-08 22:00:00,"Prepare for bed with your skincare routine and gratitude journaling."
2024090912401,2024-09-09 22:00:00,"Prepare for bed with a calming skincare routine."
