id,alarm_time,message
2024090112351,2024-09-01 06:30:00,"Wake up and prepare for the day."
2024090212399,2024-09-02 06:00:00,"Wake up and start the day with a refreshing shower and meditation."
2024090212401,2024-09-02 09:00:00,"Prepare for the sales pitch presentation."
2024090312399,2024-09-03 06:00:00,"Wake up and start your morning routine."
2024090312400,2024-09-03 07:00:00,"Time for your morning tennis match."
2024090412399,2024-09-04 06:00:00,"Wake up and start your morning routine."
2024090511111,2024-09-05 06:00:00,"Wake up and start the day with a refreshing shower and meditation."
2024090612352,2024-09-06 06:30:00,"Wake up and prepare for the morning run."
2024090712351,2024-09-07 06:30:00,"Prepare a protein-rich breakfast and listen to a motivational podcast."
2024090812361,2024-09-08 06:00:00,"Wake up and start the day with lemon water."
2024090912355,2024-09-09 06:30:00,"Wake up and prepare for the day."
