id,music_type,title,artist
1,pop,"Blinding Lights","The Weeknd"
2,indie,"Skinny Love","Bon Iver"
3,electronic,"Levitating","Dua Lipa"
4,hip-hop,"Tusa","Karol G"
5,latin,"Con Altura","Rosalía"
6,indie,"Heat Waves","Glass Animals"
7,pop,"Good 4 U","Olivia Rodrigo"
8,indie,"Bad Guy","Billie Eilish"
9,EDM,"Strobe","Deadmau5"
10,hip-hop,"Dakiti","Bad Bunny"
11,pop,"Don't Start Now","Dua Lipa"
12,electronic,"Titanium","David Guetta"
13,indie,"Electric Feel","MGMT"
14,latin,"Baila Baila Baila","Ozuna"
15,hip-hop,"Sicko Mode","Travis Scott"
16,pop,"Watermelon Sugar","Harry Styles"
17,indie,"Riptide","Vance Joy"
18,electronic,"Wake Me Up","Avicii"
19,latin,"La Modelo","Ozuna"
20,hip-hop,"Life Goes On","BTS"
21,pop,"Save Your Tears","The Weeknd"
22,indie,"Budapest","George Ezra"
23,electronic,"Closer","The Chainsmokers"
24,latin,"Vivir Mi Vida","Marc Anthony"
25,hip-hop,"God's Plan","Drake"
26,pop,"Shallow","Lady Gaga"
27,indie,"Ho Hey","The Lumineers"
28,electronic,"Animals","Martin Garrix"
29,latin,"Despacito","Luis Fonsi"
30,hip-hop,"Rockstar","Post Malone"
31,pop,"Dance Monkey","Tones and I"
32,indie,"Take Me Out","Franz Ferdinand"
33,electronic,"Faded","Alan Walker"
34,latin,"Havana","Camila Cabello"
35,hip-hop,"Old Town Road","Lil Nas X"
36,pop,"Shape of You","Ed Sheeran"
37,indie,"Pumped Up Kicks","Foster The People"
38,electronic,"Lean On","Major Lazer"
39,latin,"Mi Gente","J Balvin"
40,hip-hop,"Suge","DaBaby"
41,pop,"Uptown Funk","Mark Ronson"
42,indie,"Somebody That I Used to Know","Gotye"
43,electronic,"Turn Down for What","DJ Snake"
44,latin,"Dákiti","Bad Bunny"
45,hip-hop,"HUMBLE.","Kendrick Lamar"
46,pop,"Sorry","Justin Bieber"
47,indie,"Young Folks","Peter Bjorn and John"
48,electronic,"Scary Monsters and Nice Sprites","Skrillex"
49,latin,"Bailando","Enrique Iglesias"
50,hip-hop,"Hotline Bling","Drake"
51,pop,"Rolling in the Deep","Adele"
52,indie,"Dog Days Are Over","Florence + The Machine"
53,electronic,"Spectrum","Zedd"
54,latin,"Te Boté","Nio García"
55,hip-hop,"Lucid Dreams","Juice WRLD"
56,pop,"Roar","Katy Perry"
57,indie,"Little Lion Man","Mumford & Sons"
58,electronic,"Stay","Zedd"
59,latin,"Felices los 4","Maluma"
60,hip-hop,"Sicko Mode","Travis Scott"
