id,music_type,title,artist
1,folk,"Take Me Home, Country Roads","John Denver"
2,rock,"Sweet Home Alabama","Lynyrd Skynyrd"
3,blues,"The Thrill Is Gone","B.B. King"
4,country,"Ring of Fire","Johnny Cash"
5,folk,"The Weight","The Band"
6,rock,"Hotel California","The Eagles"
7,blues,"Crossroads","Eric Clapton"
8,country,"On the Road Again","Willie Nelson"
9,folk,"Blowin' in the Wind","Bob Dylan"
10,rock,"Born to Run","Bruce Springsteen"
11,blues,"Stormy Monday","T-Bone Walker"
12,country,"Jolene","Dolly Parton"
13,folk,"Scarborough Fair","Simon & Garfunkel"
14,rock,"Free Fallin'","Tom Petty"
15,blues,"Hoochie Coochie Man","Muddy Waters"
16,country,"Folsom Prison Blues","Johnny Cash"
17,folk,"The Times They Are a-Changin'","Bob Dylan"
18,rock,"Go Your Own Way","Fleetwood Mac"
19,blues,"Pride and Joy","Stevie Ray Vaughan"
20,country,"Take It Easy","Eagles"
21,folk,"If I Had a Hammer","Peter, Paul and Mary"
22,rock,"More Than a Feeling","Boston"
23,blues,"Boom Boom","John Lee Hooker"
24,country,"Friends in Low Places","Garth Brooks"
25,folk,"This Land Is Your Land","Woody Guthrie"
26,rock,"Sweet Child o' Mine","Guns N' Roses"
27,blues,"Red House","Jimi Hendrix"
28,country,"The Gambler","Kenny Rogers"
29,folk,"Wild World","Cat Stevens"
30,rock,"Don't Stop Believin'","Journey"
31,blues,"Born Under a Bad Sign","Albert King"
32,country,"Country Boy Can Survive","Hank Williams Jr."
33,folk,"Leaving on a Jet Plane","John Denver"
34,rock,"Back in Black","AC/DC"
35,blues,"Mannish Boy","Muddy Waters"
36,country,"Forever and Ever, Amen","Randy Travis"
37,folk,"The Sound of Silence","Simon & Garfunkel"
38,rock,"Livin' on a Prayer","Bon Jovi"
39,blues,"Sweet Home Chicago","Robert Johnson"
40,country,"I Walk the Line","Johnny Cash"
41,folk,"Mr. Tambourine Man","Bob Dylan"
42,rock,"Dream On","Aerosmith"
43,blues,"I'm Tore Down","Freddie King"
44,country,"Crazy","Patsy Cline"
45,folk,"Where Have All the Flowers Gone","Pete Seeger"
46,rock,"Smoke on the Water","Deep Purple"
47,blues,"The Sky Is Crying","Elmore James"
48,country,"Boot Scootin' Boogie","Brooks & Dunn"
49,folk,"Turn! Turn! Turn!","The Byrds"
50,rock,"Stairway to Heaven","Led Zeppelin"
51,blues,"Dust My Broom","Elmore James"
52,country,"Achy Breaky Heart","Billy Ray Cyrus"
53,folk,"Both Sides Now","Joni Mitchell"
54,rock,"We Will Rock You","Queen"
55,blues,"Ain't No Sunshine","Bill Withers"
56,country,"Stand by Your Man","Tammy Wynette"
57,folk,"Suzanne","Leonard Cohen"
58,rock,"Highway to Hell","AC/DC"
59,blues,"The Blues Is Alright","Little Milton"
60,country,"He Stopped Loving Her Today","George Jones"
