id,music_type,title,artist
1,rock,"Hotel California","Eagles"
2,country,"Ring of Fire","Johnny Cash"
3,jazz,"Blue in Green","Miles Davis"
4,blues,"Sweet Home Chicago","Robert Johnson"
5,rock,"Take It Easy","Eagles"
6,jazz,"So What","Miles Davis"
7,country,"Jolene","Dolly Parton"
8,blues,"The Thrill Is Gone","B.B. King"
9,rock,"Stairway to Heaven","Led Zeppelin"
10,country,"Folsom Prison Blues","Johnny Cash"
11,jazz,"Take Five","Dave Brubeck"
12,blues,"Cross Road Blues","Robert Johnson"
13,rock,"Bohemian Rhapsody","Queen"
14,country,"On the Road Again","Willie Nelson"
15,jazz,"All Blues","Miles Davis"
16,blues,"Hoochie Coochie Man","Muddy Waters"
17,rock,"Back in Black","AC/DC"
18,country,"Friends in Low Places","Garth Brooks"
19,jazz,"Round Midnight","Thelonious Monk"
20,blues,"Stormy Monday","T-Bone Walker"
21,rock,"Smoke on the Water","Deep Purple"
22,country,"The Gambler","Kenny Rogers"
23,jazz,"A Love Supreme","John Coltrane"
24,blues,"Born Under a Bad Sign","Albert King"
25,rock,"Sweet Child o' Mine","Guns N' Roses"
26,country,"Take Me Home, Country Roads","John Denver"
27,jazz,"My Favorite Things","John Coltrane"
28,blues,"Mannish Boy","Muddy Waters"
29,rock,"Livin' on a Prayer","Bon Jovi"
30,country,"I Walk the Line","Johnny Cash"
31,jazz,"Freddie Freeloader","Miles Davis"
32,blues,"Red House","Jimi Hendrix"
33,rock,"Another Brick in the Wall","Pink Floyd"
34,country,"Crazy","Patsy Cline"
35,jazz,"Giant Steps","John Coltrane"
36,blues,"Boom Boom","John Lee Hooker"
37,rock,"Born to Run","Bruce Springsteen"
38,country,"Achy Breaky Heart","Billy Ray Cyrus"
39,jazz,"Cantaloupe Island","Herbie Hancock"
40,blues,"Sweet Little Angel","B.B. King"
41,rock,"Free Bird","Lynyrd Skynyrd"
42,country,"Forever and Ever, Amen","Randy Travis"
43,jazz,"Maiden Voyage","Herbie Hancock"
44,blues,"Dust My Broom","Elmore James"
45,rock,"Whole Lotta Love","Led Zeppelin"
46,country,"Stand by Your Man","Tammy Wynette"
47,jazz,"In a Sentimental Mood","Duke Ellington"
48,blues,"I'm Your Hoochie Coochie Man","Muddy Waters"
49,rock,"Highway to Hell","AC/DC"
50,country,"Coal Miner's Daughter","Loretta Lynn"
51,jazz,"Autumn Leaves","Cannonball Adderley"
52,blues,"Sweet Home Alabama","Lynyrd Skynyrd"
53,rock,"We Will Rock You","Queen"
54,country,"He Stopped Loving Her Today","George Jones"
55,jazz,"Watermelon Man","Herbie Hancock"
56,blues,"Got My Mojo Working","Muddy Waters"
57,rock,"Paint It Black","The Rolling Stones"
58,country,"Mama Tried","Merle Haggard"
59,jazz,"Birdland","Weather Report"
60,blues,"Little Red Rooster","Howlin' Wolf"
61,rock,"You Shook Me All Night Long","AC/DC"
62,country,"The Dance","Garth Brooks"
63,jazz,"Spain","Chick Corea"
64,blues,"I Can't Quit You Baby","Otis Rush"
65,rock,"Don't Stop Believin'","Journey"
66,country,"Amarillo by Morning","George Strait"
67,jazz,"Bitches Brew","Miles Davis"
68,blues,"Smokestack Lightning","Howlin' Wolf"
69,rock,"Under Pressure","Queen & David Bowie"
70,country,"Boot Scootin' Boogie","Brooks & Dunn"
71,jazz,"Misty","Erroll Garner"
72,blues,"I'm Tore Down","Freddie King"
73,rock,"Sweet Emotion","Aerosmith"
74,country,"Islands in the Stream","Kenny Rogers & Dolly Parton"
75,jazz,"Song for My Father","Horace Silver"
76,blues,"Wang Dang Doodle","Koko Taylor"
77,rock,"Dream On","Aerosmith"
78,country,"9 to 5","Dolly Parton"
79,jazz,"Moanin'","Art Blakey"
80,blues,"The Sky Is Crying","Elmore James"
81,rock,"Jump","Van Halen"
82,country,"El Paso","Marty Robbins"
83,jazz,"Footprints","Wayne Shorter"
84,blues,"I Just Want to Make Love to You","Etta James"
85,rock,"Roxanne","The Police"
86,country,"Ring of Fire","Johnny Cash"
87,jazz,"Blue Monk","Thelonious Monk"
88,blues,"Born Under a Bad Sign","Albert King"
89,rock,"Purple Haze","Jimi Hendrix"
90,country,"Your Cheatin' Heart","Hank Williams"
91,jazz,"St. Thomas","Sonny Rollins"
92,blues,"The Thrill Is Gone","B.B. King"
93,rock,"Light My Fire","The Doors"
94,country,"Man! I Feel Like a Woman!","Shania Twain"
95,jazz,"Django","Modern Jazz Quartet"
96,blues,"Boom Boom","John Lee Hooker"
97,rock,"Layla","Derek and the Dominos"
98,country,"I Will Always Love You","Dolly Parton"
99,jazz,"Take the 'A' Train","Duke Ellington"
100,blues,"Sweet Home Chicago","Robert Johnson"
