id,music_type,title,artist
1,classical,"Clair de Lune","Claude Debussy"
2,jazz,"Take Five","Dave Brubeck"
3,indie,"Holocene","Bon Iver"
4,folk,"The Sound of Silence","Simon & Garfunkel"
5,classical,"Nuvole Bianche","Ludovico Einaudi"
6,jazz,"So What","Miles Davis"
7,indie,"Skinny Love","Bon Iver"
8,folk,"Scarborough Fair","Simon & Garfunkel"
9,classical,"The Four Seasons: Spring","Antonio Vivaldi"
10,jazz,"Blue in Green","Miles Davis"
11,indie,"Re: Stacks","Bon Iver"
12,folk,"Homeward Bound","Simon & Garfunkel"
13,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
14,jazz,"Freddie Freeloader","Miles Davis"
15,indie,"Flume","Bon Iver"
16,folk,"Bridge Over Troubled Water","Simon & Garfunkel"
17,classical,"Gymnopédies No.1","Erik Satie"
18,jazz,"Round Midnight","Thelonious Monk"
19,indie,"Towers","Bon Iver"
20,folk,"The Boxer","Simon & Garfunkel"
21,classical,"Nocturne in E-flat major, Op. 9, No. 2","Frédéric Chopin"
22,jazz,"All Blues","Miles Davis"
23,indie,"Blood Bank","Bon Iver"
24,folk,"Kathy's Song","Simon & Garfunkel"
25,classical,"Prelude in C Major, BWV 846","Johann Sebastian Bach"
26,jazz,"Autumn Leaves","Cannonball Adderley"
27,indie,"Perth","Bon Iver"
28,folk,"America","Simon & Garfunkel"
29,classical,"Adagio for Strings","Samuel Barber"
30,jazz,"Take the 'A' Train","Duke Ellington"
31,indie,"Minnesota, WI","Bon Iver"
32,folk,"Cecilia","Simon & Garfunkel"
33,classical,"Symphony No. 5","Ludwig van Beethoven"
34,jazz,"A Night in Tunisia","Dizzy Gillespie"
35,indie,"Holocene","Bon Iver"
36,folk,"The Only Living Boy in New York","Simon & Garfunkel"
37,classical,"Swan Lake Suite","Pyotr Ilyich Tchaikovsky"
38,jazz,"My Favorite Things","John Coltrane"
39,indie,"Creature Fear","Bon Iver"
40,folk,"El Condor Pasa","Simon & Garfunkel"
41,classical,"The Planets: Jupiter","Gustav Holst"
42,jazz,"Cantaloupe Island","Herbie Hancock"
43,indie,"Re: Stacks","Bon Iver"
44,folk,"Sound of Silence","Simon & Garfunkel"
45,classical,"Canon in D","Johann Pachelbel"
46,jazz,"Watermelon Man","Herbie Hancock"
47,indie,"For Emma","Bon Iver"
48,folk,"Mrs. Robinson","Simon & Garfunkel"
49,classical,"Eine kleine Nachtmusik","Wolfgang Amadeus Mozart"
50,jazz,"Moanin'","Art Blakey"
51,indie,"Beth/Rest","Bon Iver"
52,folk,"I Am a Rock","Simon & Garfunkel"
53,classical,"Clair de Lune","Claude Debussy"
54,jazz,"Take Five","Dave Brubeck"
55,indie,"Holocene","Bon Iver"
56,folk,"The Sound of Silence","Simon & Garfunkel"
57,classical,"Nuvole Bianche","Ludovico Einaudi"
58,jazz,"So What","Miles Davis"
59,indie,"Skinny Love","Bon Iver"
60,folk,"Scarborough Fair","Simon & Garfunkel"
61,classical,"The Four Seasons: Spring","Antonio Vivaldi"
62,jazz,"Blue in Green","Miles Davis"
63,indie,"Re: Stacks","Bon Iver"
64,folk,"Homeward Bound","Simon & Garfunkel"
65,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
66,jazz,"Freddie Freeloader","Miles Davis"
67,indie,"Flume","Bon Iver"
68,folk,"Bridge Over Troubled Water","Simon & Garfunkel"
69,classical,"Gymnopédies No.1","Erik Satie"
70,jazz,"Round Midnight","Thelonious Monk"
71,indie,"Towers","Bon Iver"
72,folk,"The Boxer","Simon & Garfunkel"
73,classical,"Nocturne in E-flat major, Op. 9, No. 2","Frédéric Chopin"
74,jazz,"All Blues","Miles Davis"
75,indie,"Blood Bank","Bon Iver"
76,folk,"Kathy's Song","Simon & Garfunkel"
77,classical,"Prelude in C Major, BWV 846","Johann Sebastian Bach"
78,jazz,"Autumn Leaves","Cannonball Adderley"
79,indie,"Perth","Bon Iver"
80,folk,"America","Simon & Garfunkel"
81,classical,"Adagio for Strings","Samuel Barber"
82,jazz,"Take the 'A' Train","Duke Ellington"
83,indie,"Minnesota, WI","Bon Iver"
84,folk,"Cecilia","Simon & Garfunkel"
85,classical,"Symphony No. 5","Ludwig van Beethoven"
86,jazz,"A Night in Tunisia","Dizzy Gillespie"
87,indie,"Holocene","Bon Iver"
88,folk,"The Only Living Boy in New York","Simon & Garfunkel"
89,classical,"Swan Lake Suite","Pyotr Ilyich Tchaikovsky"
90,jazz,"My Favorite Things","John Coltrane"
91,indie,"Creature Fear","Bon Iver"
92,folk,"El Condor Pasa","Simon & Garfunkel"
93,classical,"The Planets: Jupiter","Gustav Holst"
94,jazz,"Cantaloupe Island","Herbie Hancock"
95,indie,"Re: Stacks","Bon Iver"
96,folk,"Sound of Silence","Simon & Garfunkel"
97,classical,"Canon in D","Johann Pachelbel"
98,jazz,"Watermelon Man","Herbie Hancock"
99,indie,"For Emma","Bon Iver"
100,folk,"Mrs. Robinson","Simon & Garfunkel"
