id,alarm_time,message
2024090112399,2024-09-01 06:00:00,"Wake up and start your yoga session."
2024090112400,2024-09-01 07:30:00,"Get ready for work and pack your lunch."
2024090212354,2024-09-02 06:30:00,"Return home, shower, and prepare a nutritious breakfast."
2024090212355,2024-09-02 07:00:00,"Spend time in the garden, watering plants."
2024090212357,2024-09-02 18:30:00,"Head to the grocery store to pick up fresh ingredients for dinner."
2024090312399,2024-09-03 06:30:00,"Wake up and start your yoga session."
2024090412360,2024-09-04 06:30:00,"Wake up and start the day with meditation."
2024090412361,2024-09-04 07:00:00,"Time for yoga class at the studio."
2024090511111,2024-09-05 06:30:00,"Wake up and prepare for the day."
2024090612399,2024-09-06 06:30:00,"Wake up and start your day with meditation."
2024090712400,2024-09-07 12:30:00,"Return home and take a relaxing shower after the marathon.""
2024090812399,2024-09-08 06:30:00,"Wake up and prepare for the day."
2024090912354,2024-09-09 06:30:00,"Prepare a nutritious breakfast and listen to a morning news podcast."
