id,music_type,title,artist
1,pop,"Viva La Vida","Coldplay"
2,rock,"Smooth","Santana ft. Rob Thomas"
3,pop,"Shape of You","Ed Sheeran"
4,latin,"Despacito","Luis Fonsi ft. Daddy Yankee"
5,jazz,"Take Five","Dave Brubeck"
6,rock,"Bohemian Rhapsody","Queen"
7,pop,"Blinding Lights","The Weeknd"
8,jazz,"So What","Miles Davis"
9,latin,"Bailando","Enrique Iglesias"
10,rock,"Hotel California","Eagles"
11,pop,"Uptown Funk","Mark Ronson ft. Bruno Mars"
12,jazz,"Feeling Good","Nina Simone"
13,latin,"La Bicicleta","Carlos Vives & Shakira"
14,rock,"Stairway to Heaven","Led Zeppelin"
15,pop,"Rolling in the Deep","Adele"
16,jazz,"Blue in Green","Miles Davis"
17,latin,"Hips Don't Lie","Shakira"
18,rock,"Sweet Child o' Mine","Guns N' Roses"
19,pop,"Sorry","Justin Bieber"
20,jazz,"Autumn Leaves","Chet Baker"
21,latin,"Vivir Mi Vida","Marc Anthony"
22,rock,"Back in Black","AC/DC"
23,pop,"Happy","Pharrell Williams"
24,jazz,"Take the 'A' Train","Duke Ellington"
25,latin,"Danza Kuduro","Don Omar"
26,rock,"Imagine","John Lennon"
27,pop,"Can't Stop the Feeling!","Justin Timberlake"
28,jazz,"My Favorite Things","John Coltrane"
29,latin,"Bésame Mucho","Luis Miguel"
30,rock,"Livin' on a Prayer","Bon Jovi"
31,pop,"Shallow","Lady Gaga & Bradley Cooper"
32,jazz,"Round Midnight","Thelonious Monk"
33,latin,"Gasolina","Daddy Yankee"
34,rock,"Under Pressure","Queen & David Bowie"
35,pop,"Bad Guy","Billie Eilish"
36,jazz,"A Night in Tunisia","Dizzy Gillespie"
37,latin,"El Perdón","Nicky Jam & Enrique Iglesias"
38,rock,"Born to Run","Bruce Springsteen"
39,pop,"Senorita","Shawn Mendes & Camila Cabello"
40,jazz,"All Blues","Miles Davis"
41,latin,"Bailamos","Enrique Iglesias"
42,rock,"Another Brick in the Wall","Pink Floyd"
43,pop,"Levitating","Dua Lipa"
44,jazz,"Cantaloupe Island","Herbie Hancock"
45,latin,"La Gozadera","Gente de Zona ft. Marc Anthony"
46,rock,"Smoke on the Water","Deep Purple"
47,pop,"Watermelon Sugar","Harry Styles"
48,jazz,"Misty","Ella Fitzgerald"
49,latin,"Propuesta Indecente","Romeo Santos"
50,rock,"We Will Rock You","Queen"
51,pop,"Dance Monkey","Tones and I"
52,jazz,"Freddie Freeloader","Miles Davis"
53,latin,"Te Amo","Franco de Vita"
54,rock,"Highway to Hell","AC/DC"
55,pop,"Old Town Road","Lil Nas X"
56,jazz,"Moanin'","Art Blakey"
57,latin,"La Camisa Negra","Juanes"
58,rock,"Enter Sandman","Metallica"
59,pop,"Someone You Loved","Lewis Capaldi"
60,jazz,"Watermelon Man","Herbie Hancock"
61,latin,"Suavemente","Elvis Crespo"
62,rock,"Thunderstruck","AC/DC"
63,pop,"Memories","Maroon 5"
64,jazz,"In a Sentimental Mood","Duke Ellington & John Coltrane"
65,latin,"Bamboleo","Gipsy Kings"
66,rock,"Sweet Home Alabama","Lynyrd Skynyrd"
67,pop,"Perfect","Ed Sheeran"
68,jazz,"The Girl from Ipanema","Stan Getz & João Gilberto"
69,latin,"La Vida Es Un Carnaval","Celia Cruz"
70,rock,"Eye of the Tiger","Survivor"
71,pop,"Roar","Katy Perry"
72,jazz,"Spain","Chick Corea"
73,latin,"La Bamba","Ritchie Valens"
74,rock,"Don't Stop Believin'","Journey"
75,pop,"Firework","Katy Perry"
76,jazz,"Birdland","Weather Report"
77,latin,"Oye Como Va","Santana"
78,rock,"Free Bird","Lynyrd Skynyrd"
79,pop,"Shake It Off","Taylor Swift"
80,jazz,"Sing, Sing, Sing","Benny Goodman"
81,latin,"Conga","Gloria Estefan"
82,rock,"Whole Lotta Love","Led Zeppelin"
83,pop,"I Gotta Feeling","The Black Eyed Peas"
84,jazz,"Caravan","Duke Ellington"
85,latin,"Bailar","Deorro ft. Elvis Crespo"
86,rock,"Paint It Black","The Rolling Stones"
87,pop,"Call Me Maybe","Carly Rae Jepsen"
88,jazz,"Take Five","Dave Brubeck"
89,latin,"Macarena","Los Del Rio"
90,rock,"Kashmir","Led Zeppelin"
91,pop,"Poker Face","Lady Gaga"
92,jazz,"A Love Supreme","John Coltrane"
93,latin,"Despacito","Luis Fonsi ft. Daddy Yankee"
94,rock,"Bohemian Rhapsody","Queen"
95,pop,"Rolling in the Deep","Adele"
96,jazz,"Blue Train","John Coltrane"
97,latin,"Bailando","Enrique Iglesias"
98,rock,"Hotel California","Eagles"
99,pop,"Uptown Funk","Mark Ronson ft. Bruno Mars"
100,jazz,"So What","Miles Davis"
