id,alarm_time,message
2024090112356,2024-09-01 06:00:00,"Wake up and start the day with lemon water and meditation."
2024090212362,2024-09-02 06:30:00,"Begin your morning run along the San Francisco Bay Trail."
2024090301235,2024-09-03 06:00:00,"Wake up and start the day with a glass of lemon water."
2024090412399,2024-09-04 06:30:00,"Wake up and prepare for the day."
2024090522222,2024-09-05 06:30:00,"Begin trail running in Golden Gate Park."
2024090533333,2024-09-05 10:00:00,"Prepare for the leadership workshop at company headquarters."
2024090612399,2024-09-06 06:30:00,"Wake up and prepare for the day."
2024090712347,2024-09-07 06:30:00,"Begin urban cycling around the city."
2024090712348,2024-09-07 09:00:00,"Travel to the tech conference venue."
2024090812360,2024-09-08 06:00:00,"Wake up and start the day with mindfulness meditation."
2024090912400,2024-09-09 06:30:00,"Begin your yoga session."
