Activity Type,Start Time,End Time,Duration,Average Heart Rate,Maximum Heart Rate,Calories Burned,Exercise Effect Analysis,System Suggestion,Average Pace,Cadence,Route,Speed Curve,Heart Rate Curve,Breathing Rate,Relaxation State,Pose Count,Focus Area,Distance,Average Speed,Elevation Gain
Running,2024-09-01 06:30:00,2024-09-01 07:15:00,45,140,165,400,Aerobic endurance improved,Consider adding interval sprints to enhance speed,6:45,158.0,GPS Track 1,Speed Curve 1,Heart Rate Curve 1,,,,,,,
Yoga,2024-09-01 09:00:00,2024-09-01 09:30:00,30,95,110,100,Relaxation and flexibility improved,Focus on deep breathing techniques to enhance relaxation,,,,,12,85%,8.0,Flexibility,,,,
Cycling,2024-09-02 08:00:00,2024-09-02 08:30:00,30,130,150,250,Stamina improved,Incorporate interval training for speed,,,GPS Track 1,Speed Curve 1,,,,,,7.0,14.0,50.0
Yoga,2024-09-02 09:00:00,2024-09-02 09:30:00,30,95,110,100,Relaxation achieved,Focus on deep breathing techniques,,,,,Breathing Curve 1,Relaxation Data 1,8.0,Flexibility,,,,
Yoga,2024-09-03 07:00:00,2024-09-03 07:45:00,45,95,110,150,Relaxation and flexibility improved,Focus on deep breathing techniques,,,,,12,85%,15.0,Flexibility,,,,
Cycling,2024-09-03 17:30:00,2024-09-03 18:00:00,30,130,150,250,Stamina and cardiovascular health improved,Incorporate interval sprints for speed,,,GPS Track 1,Speed Curve 1,,,,,,8.0,16.0,50.0
Cycling,2024-09-04 06:30:00,2024-09-04 07:00:00,30,130,150,250,Cardiovascular endurance improved,Consider interval training for speed improvement,,,GPS Track 1,Speed Curve 1,,,,,,10.0,20.0,50.0
Yoga,2024-09-04 21:00:00,2024-09-04 21:30:00,30,95,110,100,Relaxation and flexibility enhanced,Focus on deep breathing techniques,,,,,12,85%,8.0,Flexibility,,,,
Mountain Climbing,2024-09-05 06:00:00,2024-09-05 07:30:00,90,130,160,600,Cardiovascular endurance improved,Incorporate more varied terrain for challenge,,,GPS Track 1,Speed Curve 1,Heart Rate Curve 1,,,,,,,
Yoga,2024-09-05 20:00:00,2024-09-05 20:30:00,30,95,110,100,Relaxation achieved,Focus on deep breathing techniques,,,,,Breathing Curve 1,Relaxation Data 1,12.0,Mindfulness,,,,
Yoga,2024-09-06 06:00:00,2024-09-06 06:30:00,30,95,110,100,Relaxation achieved,Focus on deep breathing techniques,,,,,Breathing Curve 1,Relaxation Data 1,8.0,Mindfulness,,,,
Cycling,2024-09-06 08:00:00,2024-09-06 08:30:00,30,130,150,250,Stamina improved,Incorporate interval sprints for speed,,,GPS Track 1,Speed Curve 1,,,,,,7.0,14.0,50.0
Yoga,2024-09-07 06:30:00,2024-09-07 07:15:00,45,95,115,150,Relaxation and core strength improved,Focus on deep breathing techniques,,,,,Breathing Curve 1,Relaxation Data 1,12.0,Core Strength,,,,
Cycling,2024-09-07 16:30:00,2024-09-07 17:00:00,30,130,150,250,Stamina improved,Incorporate interval training for endurance,,,GPS Track 1,Speed Curve 1,,,,,,10.0,20.0,100.0
Running,2024-09-08 07:00:00,2024-09-08 07:45:00,45,140,165,400,Aerobic endurance improved,Increase interval training to boost speed,6:45,158.0,GPS Track 1,Speed Curve 1,Heart Rate Curve 1,,,,,,,
Yoga,2024-09-08 09:00:00,2024-09-08 09:30:00,30,95,110,100,Relaxation achieved,Focus on deep breathing techniques,,,,,12,85%,8.0,Flexibility,,,,
Yoga,2024-09-09 06:30:00,2024-09-09 07:00:00,30,95,110,100,Relaxation achieved,Focus on deep breathing techniques,,,,,Breathing Curve 1,Relaxation Data 1,8.0,Mindfulness,,,,
Cycling,2024-09-09 08:30:00,2024-09-09 09:00:00,30,130,150,250,Stamina improved,Incorporate interval training for endurance,,,GPS Track 1,Speed Curve 1,,,,,,10.0,20.0,150.0
