id,music_type,title,artist
1,classical,"Clair de Lune","Claude Debussy"
2,jazz,"Take Five","Dave Brubeck"
3,ambient,"Weightless","Marconi Union"
4,classical,"Bach: Cello Suite No.1","Yo-Yo Ma"
5,world music,"Orinoco Flow","Enya"
6,classical,"Nuvole Bianche","Ludovico Einaudi"
7,jazz,"So What","Miles Davis"
8,ambient,"An Ending (Ascent)","Brian Eno"
9,classical,"The Four Seasons: Spring","Antonio Vivaldi"
10,world music,"Baba Yetu","Christopher Tin"
11,jazz,"Blue in Green","Miles Davis"
12,ambient,"Aqueous Transmission","Incubus"
13,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
14,world music,"Sakura Sakura","Traditional"
15,jazz,"Autumn Leaves","Chet Baker"
16,ambient,"Dawn Chorus","Boards of Canada"
17,classical,"Nocturne in E-flat major, Op. 9, No. 2","Frédéric Chopin"
18,world music,"Desert Rose","Sting"
19,jazz,"Round Midnight","Thelonious Monk"
20,ambient,"We Can Fly","Rue du Soleil"
21,classical,"Symphony No. 5","Ludwig van Beethoven"
22,world music,"Hoppípolla","Sigur Rós"
23,jazz,"Take the 'A' Train","Duke Ellington"
24,ambient,"Night Owl","Galimatias"
25,classical,"Ave Maria","Franz Schubert"
26,world music,"Nara","E.S. Posthumus"
27,jazz,"My Favorite Things","John Coltrane"
28,ambient,"Weightless Part 1","Marconi Union"
29,classical,"The Swan","Camille Saint-Saëns"
30,world music,"Waka Waka","Shakira"
31,jazz,"Freddie Freeloader","Miles Davis"
32,ambient,"Breathe","Télépopmusik"
33,classical,"Adagio for Strings","Samuel Barber"
34,world music,"Jai Ho","A.R. Rahman"
35,jazz,"A Night in Tunisia","Dizzy Gillespie"
36,ambient,"Sunset Lover","Petit Biscuit"
37,classical,"Rhapsody in Blue","George Gershwin"
38,world music,"Zorba's Dance","Mikis Theodorakis"
39,jazz,"All Blues","Miles Davis"
40,ambient,"Lost Cause","Billie Eilish"
41,classical,"Canon in D","Johann Pachelbel"
42,world music,"Bésame Mucho","Consuelo Velázquez"
43,jazz,"Moanin'","Art Blakey"
44,ambient,"Weightless Part 2","Marconi Union"
45,classical,"Clair de Lune","Claude Debussy"
46,world music,"La Vie en Rose","Édith Piaf"
47,jazz,"Take Five","Dave Brubeck"
48,ambient,"Weightless Part 3","Marconi Union"
49,classical,"Bach: Cello Suite No.1","Yo-Yo Ma"
50,world music,"Orinoco Flow","Enya"
51,classical,"Nuvole Bianche","Ludovico Einaudi"
52,jazz,"So What","Miles Davis"
53,ambient,"An Ending (Ascent)","Brian Eno"
54,classical,"The Four Seasons: Spring","Antonio Vivaldi"
55,world music,"Baba Yetu","Christopher Tin"
56,jazz,"Blue in Green","Miles Davis"
57,ambient,"Aqueous Transmission","Incubus"
58,classical,"Piano Concerto No. 21","Wolfgang Amadeus Mozart"
59,world music,"Sakura Sakura","Traditional"
60,jazz,"Autumn Leaves","Chet Baker"
61,ambient,"Dawn Chorus","Boards of Canada"
62,classical,"Nocturne in E-flat major, Op. 9, No. 2","Frédéric Chopin"
63,world music,"Desert Rose","Sting"
64,jazz,"Round Midnight","Thelonious Monk"
65,ambient,"We Can Fly","Rue du Soleil"
66,classical,"Symphony No. 5","Ludwig van Beethoven"
67,world music,"Hoppípolla","Sigur Rós"
68,jazz,"Take the 'A' Train","Duke Ellington"
69,ambient,"Night Owl","Galimatias"
70,classical,"Ave Maria","Franz Schubert"
71,world music,"Nara","E.S. Posthumus"
72,jazz,"My Favorite Things","John Coltrane"
73,ambient,"Weightless Part 1","Marconi Union"
74,classical,"The Swan","Camille Saint-Saëns"
75,world music,"Waka Waka","Shakira"
76,jazz,"Freddie Freeloader","Miles Davis"
77,ambient,"Breathe","Télépopmusik"
78,classical,"Adagio for Strings","Samuel Barber"
79,world music,"Jai Ho","A.R. Rahman"
80,jazz,"A Night in Tunisia","Dizzy Gillespie"
81,ambient,"Sunset Lover","Petit Biscuit"
82,classical,"Rhapsody in Blue","George Gershwin"
83,world music,"Zorba's Dance","Mikis Theodorakis"
84,jazz,"All Blues","Miles Davis"
85,ambient,"Lost Cause","Billie Eilish"
86,classical,"Canon in D","Johann Pachelbel"
87,world music,"Bésame Mucho","Consuelo Velázquez"
88,jazz,"Moanin'","Art Blakey"
89,ambient,"Weightless Part 2","Marconi Union"
90,classical,"Clair de Lune","Claude Debussy"
91,world music,"La Vie en Rose","Édith Piaf"
92,jazz,"Take Five","Dave Brubeck"
93,ambient,"Weightless Part 3","Marconi Union"
94,classical,"Bach: Cello Suite No.1","Yo-Yo Ma"
95,world music,"Orinoco Flow","Enya"
96,classical,"Nuvole Bianche","Ludovico Einaudi"
97,jazz,"So What","Miles Davis"
98,ambient,"An Ending (Ascent)","Brian Eno"
99,classical,"The Four Seasons: Spring","Antonio Vivaldi"
100,world music,"Baba Yetu","Christopher Tin"
